Date,Open,High,Low,Close,Volume
2019-07-30 05:30:00+05:30,128.0,131.0,123.85,125.35,4167043
2019-07-31 05:30:00+05:30,125.0,129.3,124.2,128.8,3665392
2019-08-01 05:30:00+05:30,128.6,129.1,123.0,125.45,4462938
2019-08-02 05:30:00+05:30,124.9,129.75,123.3,128.1,4637509
2019-08-05 05:30:00+05:30,126.2,126.4,121.15,124.7,5259236
2019-08-06 05:30:00+05:30,124.0,129.45,124.0,128.2,3899290
2019-08-07 05:30:00+05:30,128.2,130.15,124.6,125.6,3911797
2019-08-08 05:30:00+05:30,126.2,134.0,124.05,130.9,7070036
2019-08-09 05:30:00+05:30,134.7,135.9,130.1,132.4,8589075
2019-08-13 05:30:00+05:30,133.0,133.9,128.6,130.3,4226112
2019-08-14 05:30:00+05:30,130.9,132.45,127.35,130.65,4761139
2019-08-16 05:30:00+05:30,130.0,133.95,128.15,132.85,4087073
2019-08-19 05:30:00+05:30,132.8,136.95,132.3,135.5,4261741
2019-08-20 05:30:00+05:30,135.7,136.8,132.05,135.65,4515865
2019-08-21 05:30:00+05:30,134.0,135.3,130.25,131.9,3426518
2019-08-22 05:30:00+05:30,130.95,131.3,126.1,126.9,3358838
2019-08-23 05:30:00+05:30,123.4,132.2,122.9,131.3,4374006
2019-08-26 05:30:00+05:30,132.1,135.95,128.3,135.2,5507570
2019-08-27 05:30:00+05:30,134.75,138.2,133.9,137.15,4495705
2019-08-28 05:30:00+05:30,136.2,137.1,132.15,135.95,5312871
2019-08-29 05:30:00+05:30,138.0,138.0,130.35,132.35,6108447
2019-08-30 05:30:00+05:30,132.4,138.3,132.15,137.35,7806183
2019-09-03 05:30:00+05:30,135.6,136.9,133.0,135.25,3477541
2019-09-04 05:30:00+05:30,134.6,135.5,130.6,134.95,4313711
2019-09-05 05:30:00+05:30,135.0,138.65,133.35,135.75,6840367
2019-09-06 05:30:00+05:30,135.4,138.45,135.05,137.75,3744649
2019-09-09 05:30:00+05:30,137.8,141.75,136.35,140.9,4349296
2019-09-11 05:30:00+05:30,140.05,144.9,140.05,143.95,4245005
2019-09-12 05:30:00+05:30,144.85,146.3,142.05,143.05,3500479
2019-09-13 05:30:00+05:30,143.0,146.9,140.55,145.75,3561056
2019-09-16 05:30:00+05:30,144.0,147.2,143.15,145.95,3713796
2019-09-17 05:30:00+05:30,145.5,147.9,142.4,143.75,4167662
2019-09-18 05:30:00+05:30,144.0,146.0,142.1,144.15,3465608
2019-09-19 05:30:00+05:30,143.95,144.9,140.5,142.55,2662885
2019-09-20 05:30:00+05:30,143.0,152.1,141.3,149.1,7545363
2019-09-23 05:30:00+05:30,154.0,154.0,147.55,152.4,4136992
2019-09-24 05:30:00+05:30,151.25,153.0,145.4,148.05,4576924
2019-09-25 05:30:00+05:30,149.7,151.0,145.5,147.55,4572108
2019-09-26 05:30:00+05:30,148.45,155.4,146.65,152.7,7013490
2019-09-27 05:30:00+05:30,152.7,152.7,147.2,149.45,4016921
2019-09-30 05:30:00+05:30,149.1,149.75,143.75,145.85,3528313
2019-10-01 05:30:00+05:30,146.1,147.7,140.5,143.65,3732047
2019-10-03 05:30:00+05:30,143.0,145.0,141.4,143.55,2070232
2019-10-04 05:30:00+05:30,143.95,144.5,137.55,140.0,2382805
2019-10-07 05:30:00+05:30,138.45,140.0,135.25,135.8,2701943
2019-10-09 05:30:00+05:30,134.95,139.65,134.1,139.0,2682715
2019-10-10 05:30:00+05:30,138.0,139.1,135.3,137.4,2413888
2019-10-11 05:30:00+05:30,137.45,138.8,134.6,136.95,2780875
2019-10-14 05:30:00+05:30,137.9,152.4,137.0,147.1,10795909
2019-10-15 05:30:00+05:30,147.7,155.85,146.6,155.0,11048872
2019-10-16 05:30:00+05:30,155.0,160.9,155.0,160.15,9587304
2019-10-17 05:30:00+05:30,159.8,165.0,157.65,162.55,6523046
2019-10-18 05:30:00+05:30,174.9,175.8,165.1,175.1,14162661
2019-10-22 05:30:00+05:30,174.5,180.0,173.4,178.65,7909839
2019-10-23 05:30:00+05:30,178.75,178.75,172.4,176.45,4743985
2019-10-24 05:30:00+05:30,175.0,180.0,174.3,179.0,4753708
2019-10-25 05:30:00+05:30,179.5,183.7,177.2,181.3,7857185
2019-10-27 05:30:00+05:30,182.9,184.25,182.0,183.4,1003414
2019-10-29 05:30:00+05:30,182.8,197.0,182.35,195.55,9534790
2019-10-30 05:30:00+05:30,194.35,197.45,192.3,195.75,4791525
2019-10-31 05:30:00+05:30,196.7,201.3,196.0,199.65,6584768
2019-11-01 05:30:00+05:30,199.0,202.4,196.2,200.45,3522957
2019-11-04 05:30:00+05:30,200.95,203.9,198.25,200.9,3965499
2019-11-05 05:30:00+05:30,200.0,201.5,197.7,200.55,2326138
2019-11-06 05:30:00+05:30,199.0,209.7,198.6,207.55,6220311
2019-11-07 05:30:00+05:30,207.9,210.4,205.5,209.15,3959490
2019-11-08 05:30:00+05:30,208.7,212.0,206.2,208.05,4057743
2019-11-11 05:30:00+05:30,206.95,212.25,206.05,210.85,2907157
2019-11-13 05:30:00+05:30,209.0,210.75,194.3,198.2,9836594
2019-11-14 05:30:00+05:30,196.25,203.15,194.05,202.3,4141184
2019-11-15 05:30:00+05:30,202.0,205.0,200.8,203.6,3314555
2019-11-18 05:30:00+05:30,203.8,205.6,200.1,201.15,2041767
2019-11-19 05:30:00+05:30,202.0,202.6,196.25,199.7,2954848
2019-11-20 05:30:00+05:30,198.5,207.45,198.1,205.7,3488019
2019-11-21 05:30:00+05:30,206.9,209.0,201.95,205.5,4409698
2019-11-22 05:30:00+05:30,204.75,206.3,200.1,203.45,2545651
2019-11-25 05:30:00+05:30,201.9,216.25,201.6,215.2,6805228
2019-11-26 05:30:00+05:30,214.75,217.7,207.15,210.6,5247790
2019-11-27 05:30:00+05:30,209.9,215.2,208.5,213.55,4051404
2019-11-28 05:30:00+05:30,212.8,216.2,210.5,213.1,4234343
2019-11-29 05:30:00+05:30,212.4,221.5,211.7,214.9,7969827
2019-12-02 05:30:00+05:30,212.0,213.7,206.05,209.0,3169460
2019-12-03 05:30:00+05:30,208.0,209.95,203.55,207.85,2382612
2019-12-04 05:30:00+05:30,205.8,213.5,205.3,212.45,2917279
2019-12-05 05:30:00+05:30,213.0,213.7,207.35,208.4,2309030
2019-12-06 05:30:00+05:30,208.45,210.05,205.05,206.5,1958477
2019-12-09 05:30:00+05:30,205.9,209.7,202.4,207.45,2550809
2019-12-10 05:30:00+05:30,207.45,208.2,203.3,204.2,2139886
2019-12-11 05:30:00+05:30,203.1,207.8,202.65,206.15,2155584
2019-12-12 05:30:00+05:30,206.9,212.35,206.6,210.4,2958155
2019-12-13 05:30:00+05:30,210.5,213.25,208.5,212.2,2867800
2019-12-16 05:30:00+05:30,212.1,213.25,209.4,210.5,2184582
2019-12-17 05:30:00+05:30,210.5,213.2,210.0,211.2,1968218
2019-12-18 05:30:00+05:30,211.8,212.45,205.6,208.15,2542320
2019-12-19 05:30:00+05:30,207.65,211.0,206.75,210.55,2180662
2019-12-20 05:30:00+05:30,210.0,220.8,209.5,218.8,6997898
2019-12-23 05:30:00+05:30,217.75,220.8,212.4,214.55,3709426
2019-12-24 05:30:00+05:30,214.55,216.95,207.6,209.15,2984621
2019-12-26 05:30:00+05:30,208.95,211.1,205.6,208.95,3299177
2019-12-27 05:30:00+05:30,209.05,211.2,207.1,209.1,2240503
2019-12-30 05:30:00+05:30,209.9,211.6,208.0,208.65,1938731
2019-12-31 05:30:00+05:30,208.7,210.75,207.65,208.35,1600059
2020-01-01 05:30:00+05:30,209.0,210.45,206.65,207.85,1553127
2020-01-02 05:30:00+05:30,208.0,213.2,207.5,211.2,2991937
2020-01-03 05:30:00+05:30,210.25,212.35,205.8,208.3,2512421
2020-01-06 05:30:00+05:30,207.75,207.75,197.75,199.55,4353179
2020-01-07 05:30:00+05:30,200.55,205.7,200.55,204.05,2966120
2020-01-08 05:30:00+05:30,201.0,203.55,194.55,201.5,5762654
2020-01-09 05:30:00+05:30,201.9,208.9,201.9,208.0,3496063
2020-01-10 05:30:00+05:30,208.0,213.0,205.9,209.1,2769132
2020-01-13 05:30:00+05:30,210.65,216.25,209.6,213.6,3527267
2020-01-14 05:30:00+05:30,213.45,215.5,211.85,214.35,1775182
2020-01-15 05:30:00+05:30,214.5,218.0,212.5,216.6,1982079
2020-01-16 05:30:00+05:30,217.7,222.5,217.0,220.0,4280379
2020-01-17 05:30:00+05:30,216.0,229.25,213.7,228.4,10810744
2020-01-20 05:30:00+05:30,229.55,232.25,224.15,226.55,4546367
2020-01-21 05:30:00+05:30,224.35,227.0,220.5,224.25,2813526
2020-01-22 05:30:00+05:30,224.8,228.0,221.15,225.9,2939366
2020-01-23 05:30:00+05:30,226.0,231.2,225.75,229.6,2650092
2020-01-24 05:30:00+05:30,225.5,232.4,219.0,229.75,7154795
2020-01-27 05:30:00+05:30,229.5,236.45,226.05,230.55,5293975
2020-01-28 05:30:00+05:30,232.25,234.5,229.1,229.9,2161711
2020-01-29 05:30:00+05:30,231.7,238.35,231.0,232.3,3738186
2020-01-30 05:30:00+05:30,232.3,232.75,228.2,231.5,2192123
2020-01-31 05:30:00+05:30,231.0,234.55,227.15,229.45,2720308
2020-02-01 05:30:00+05:30,228.0,233.65,220.8,222.8,3046388
2020-02-03 05:30:00+05:30,221.7,224.65,215.6,220.9,2720614
2020-02-04 05:30:00+05:30,222.65,227.15,222.05,225.45,2028088
2020-02-05 05:30:00+05:30,226.75,239.3,222.55,236.25,8985919
2020-02-06 05:30:00+05:30,237.4,243.6,234.1,236.5,8852675
2020-02-07 05:30:00+05:30,236.4,242.15,235.25,239.5,5052443
2020-02-10 05:30:00+05:30,239.5,245.15,237.55,244.5,5588211
2020-02-11 05:30:00+05:30,245.2,248.6,243.65,245.3,3533751
2020-02-12 05:30:00+05:30,245.9,251.4,245.0,249.7,4490312
2020-02-13 05:30:00+05:30,249.8,252.75,248.25,251.45,2563148
2020-02-14 05:30:00+05:30,252.5,258.6,251.55,256.15,4968325
2020-02-17 05:30:00+05:30,256.9,257.4,251.65,252.5,2411524
2020-02-18 05:30:00+05:30,251.65,251.65,245.25,249.45,2430446
2020-02-19 05:30:00+05:30,250.0,255.5,249.9,254.0,2101729
2020-02-20 05:30:00+05:30,253.2,261.0,252.65,258.65,3108173
2020-02-24 05:30:00+05:30,254.8,255.85,244.1,247.25,3309214
2020-02-25 05:30:00+05:30,249.8,251.75,242.4,246.45,3309962
2020-02-26 05:30:00+05:30,244.0,246.3,241.0,242.8,2897390
2020-02-27 05:30:00+05:30,241.45,241.45,232.05,234.15,3568055
2020-02-28 05:30:00+05:30,221.0,226.8,217.0,218.65,3364181
2020-03-02 05:30:00+05:30,223.0,226.7,216.15,218.6,3162614
2020-03-03 05:30:00+05:30,221.0,228.65,219.25,225.75,2992170
2020-03-04 05:30:00+05:30,226.1,227.0,213.55,221.1,5216787
2020-03-05 05:30:00+05:30,223.75,226.85,219.35,221.75,3159080
2020-03-06 05:30:00+05:30,215.1,216.75,207.5,214.75,4375226
2020-03-09 05:30:00+05:30,207.0,208.5,197.25,199.7,2763989
2020-03-11 05:30:00+05:30,197.4,205.0,192.25,195.75,3763191
2020-03-12 05:30:00+05:30,180.1,183.9,160.45,162.15,4834390
2020-03-13 05:30:00+05:30,145.95,161.35,129.75,148.75,7463676
2020-03-16 05:30:00+05:30,141.0,142.3,128.65,134.7,6582849
2020-03-17 05:30:00+05:30,135.7,142.55,130.5,133.4,6388062
2020-03-18 05:30:00+05:30,135.9,137.0,127.1,130.2,4255688
2020-03-19 05:30:00+05:30,121.0,132.95,118.2,128.9,5517080
2020-03-20 05:30:00+05:30,138.0,141.6,128.7,137.7,4496401
2020-03-23 05:30:00+05:30,123.05,135.0,118.2,120.9,1456143
2020-03-24 05:30:00+05:30,125.0,132.95,116.4,130.35,5125923
2020-03-25 05:30:00+05:30,126.0,134.9,125.0,132.3,2771318
2020-03-26 05:30:00+05:30,135.0,152.0,132.05,140.25,7980255
2020-03-27 05:30:00+05:30,146.0,151.0,126.25,128.0,4378366
2020-03-30 05:30:00+05:30,124.0,129.8,121.0,128.7,2397602
2020-03-31 05:30:00+05:30,131.7,138.45,129.45,137.6,2200227
2020-04-01 05:30:00+05:30,138.95,138.95,131.8,133.95,1997608
2020-04-03 05:30:00+05:30,134.0,134.6,128.0,129.05,1761947
2020-04-07 05:30:00+05:30,131.0,141.5,131.0,138.15,2463525
2020-04-08 05:30:00+05:30,136.85,147.15,134.9,138.1,3237290
2020-04-09 05:30:00+05:30,140.0,146.25,140.0,142.45,2359528
2020-04-13 05:30:00+05:30,142.0,149.0,136.55,146.0,2204560
2020-04-15 05:30:00+05:30,148.05,150.95,143.2,145.25,3413518
2020-04-16 05:30:00+05:30,142.0,144.85,140.55,143.3,2685695
2020-04-17 05:30:00+05:30,146.95,148.55,141.55,143.9,2384033
2020-04-20 05:30:00+05:30,146.0,155.45,142.6,146.7,6835268
2020-04-21 05:30:00+05:30,143.0,143.0,134.15,135.95,3576178
2020-04-22 05:30:00+05:30,136.0,138.8,132.1,137.6,6012163
2020-04-23 05:30:00+05:30,140.5,142.5,137.5,140.5,3371275
2020-04-24 05:30:00+05:30,137.15,140.55,134.1,134.65,1823167
2020-04-27 05:30:00+05:30,136.4,138.35,134.1,134.6,2996933
2020-04-28 05:30:00+05:30,135.95,141.9,135.05,139.3,5721209
2020-04-29 05:30:00+05:30,140.0,140.7,135.65,139.5,4774365
2020-04-30 05:30:00+05:30,141.45,147.45,140.3,141.4,4900322
2020-05-04 05:30:00+05:30,136.9,137.5,130.0,131.55,6013356
2020-05-05 05:30:00+05:30,135.0,136.35,131.8,132.7,3112486
2020-05-06 05:30:00+05:30,133.65,135.4,127.3,133.25,6688490
2020-05-07 05:30:00+05:30,131.1,135.65,130.0,134.9,2423478
2020-05-08 05:30:00+05:30,136.9,139.35,136.2,137.15,2431475
2020-05-11 05:30:00+05:30,137.85,143.3,137.5,140.05,2900722
2020-05-12 05:30:00+05:30,138.5,140.7,133.2,139.9,2901951
2020-05-13 05:30:00+05:30,145.0,145.0,140.75,141.15,3115040
2020-05-14 05:30:00+05:30,139.55,142.35,137.4,140.9,1587450
2020-05-15 05:30:00+05:30,141.4,143.7,140.0,141.05,2145698
2020-05-18 05:30:00+05:30,144.8,146.4,134.35,135.9,4941536
2020-05-19 05:30:00+05:30,137.8,145.9,134.45,139.7,5564396
2020-05-20 05:30:00+05:30,139.5,143.2,138.0,141.35,2872608
2020-05-21 05:30:00+05:30,142.2,144.0,137.05,138.3,2682563
2020-05-22 05:30:00+05:30,138.0,141.2,136.6,138.1,2449109
2020-05-26 05:30:00+05:30,139.0,143.3,138.35,139.5,2657870
2020-05-27 05:30:00+05:30,139.75,141.6,138.5,141.0,2224751
2020-05-28 05:30:00+05:30,141.7,144.4,140.6,142.65,2816729
2020-05-29 05:30:00+05:30,141.1,153.6,141.1,148.35,9162612
2020-06-01 05:30:00+05:30,150.0,154.9,149.5,150.5,3985103
2020-06-02 05:30:00+05:30,151.0,152.6,148.25,149.95,2482873
2020-06-03 05:30:00+05:30,151.75,157.9,149.6,150.65,5875945
2020-06-04 05:30:00+05:30,150.5,153.9,146.15,148.0,3146640
2020-06-05 05:30:00+05:30,148.9,155.0,148.45,152.45,4111098
2020-06-08 05:30:00+05:30,155.6,158.5,150.65,152.65,4900204
2020-06-09 05:30:00+05:30,154.2,156.7,151.05,151.9,3005662
2020-06-10 05:30:00+05:30,152.75,154.75,150.25,151.85,4135128
2020-06-11 05:30:00+05:30,151.85,165.45,150.25,151.8,16533100
2020-06-12 05:30:00+05:30,144.0,153.3,141.0,152.3,4817495
2020-06-15 05:30:00+05:30,151.8,156.85,148.25,149.25,3214996
2020-06-16 05:30:00+05:30,153.5,154.0,142.75,146.2,2640412
2020-06-17 05:30:00+05:30,145.0,148.45,143.45,147.15,1252826
2020-06-18 05:30:00+05:30,146.7,149.45,146.0,147.85,2037815
2020-06-19 05:30:00+05:30,149.6,154.4,148.9,152.7,5245929
2020-06-22 05:30:00+05:30,154.5,156.2,153.6,154.65,4663344
2020-06-23 05:30:00+05:30,157.0,161.8,155.55,157.2,4790124
2020-06-24 05:30:00+05:30,159.1,163.0,153.5,154.8,4078243
2020-06-25 05:30:00+05:30,153.25,169.2,153.0,161.65,14628400
2020-06-26 05:30:00+05:30,164.0,166.35,161.3,162.15,6774409
2020-06-29 05:30:00+05:30,161.4,163.55,156.75,159.75,2937549
2020-06-30 05:30:00+05:30,161.4,164.15,155.25,156.25,3827270
2020-07-01 05:30:00+05:30,157.15,159.0,156.05,157.65,1681231
2020-07-02 05:30:00+05:30,159.8,160.95,156.15,158.2,2152710
2020-07-03 05:30:00+05:30,160.0,163.85,157.4,160.0,4481658
2020-07-06 05:30:00+05:30,161.95,165.2,160.5,164.2,3515715
2020-07-07 05:30:00+05:30,164.5,170.65,163.3,168.15,8172263
2020-07-08 05:30:00+05:30,168.0,169.5,161.4,163.0,3650215
2020-07-09 05:30:00+05:30,163.0,165.1,161.45,162.75,1711099
2020-07-10 05:30:00+05:30,161.5,163.4,158.5,159.7,1950862
2020-07-13 05:30:00+05:30,161.45,162.45,154.35,156.05,2586181
2020-07-14 05:30:00+05:30,155.9,156.25,149.0,149.75,2352037
2020-07-15 05:30:00+05:30,150.1,153.85,147.0,147.75,2180515
2020-07-16 05:30:00+05:30,148.1,150.0,145.2,148.9,1473784
2020-07-17 05:30:00+05:30,149.75,153.9,149.0,151.6,2222846
2020-07-20 05:30:00+05:30,153.15,161.9,152.1,160.7,6330153
2020-07-21 05:30:00+05:30,161.45,168.1,159.1,167.3,6517623
2020-07-22 05:30:00+05:30,167.0,172.0,162.0,169.4,4611051
2020-07-23 05:30:00+05:30,168.35,170.7,165.4,169.95,2199271
2020-07-24 05:30:00+05:30,167.4,169.75,163.65,168.75,1801380
2020-07-27 05:30:00+05:30,168.65,169.05,163.0,165.95,1156539
2020-07-28 05:30:00+05:30,166.3,174.9,163.8,173.55,4829254
2020-07-29 05:30:00+05:30,174.0,190.85,172.05,179.1,15392611
2020-07-30 05:30:00+05:30,179.2,181.35,173.25,175.05,3403350
2020-07-31 05:30:00+05:30,174.0,178.65,172.1,175.25,2644458
2020-08-03 05:30:00+05:30,175.25,178.7,171.2,172.25,2789132
2020-08-04 05:30:00+05:30,174.0,184.0,172.2,182.1,4209093
2020-08-05 05:30:00+05:30,183.0,184.8,178.5,179.6,4042372
2020-08-06 05:30:00+05:30,180.1,188.0,177.5,185.95,6447346
2020-08-07 05:30:00+05:30,181.05,195.0,180.1,192.9,9386326
2020-08-10 05:30:00+05:30,192.9,198.3,192.35,195.7,4627829
2020-08-11 05:30:00+05:30,196.0,199.8,194.4,195.85,2965963
2020-08-12 05:30:00+05:30,195.8,200.75,190.2,197.7,3352637
2020-08-13 05:30:00+05:30,198.9,203.3,197.75,200.75,3552469
2020-08-14 05:30:00+05:30,202.4,204.5,191.45,196.2,6617104
2020-08-17 05:30:00+05:30,197.4,201.65,196.05,197.8,3227005
2020-08-18 05:30:00+05:30,200.0,216.8,199.0,213.7,13368091
2020-08-19 05:30:00+05:30,214.25,245.4,214.25,239.55,19592087
2020-08-20 05:30:00+05:30,241.2,245.0,230.4,234.0,9484513
2020-08-21 05:30:00+05:30,237.1,244.5,231.1,233.35,5797329
2020-08-24 05:30:00+05:30,236.0,253.85,235.0,248.7,11879433
2020-08-25 05:30:00+05:30,252.0,322.4,250.0,307.55,49264767
2020-08-26 05:30:00+05:30,299.0,302.8,278.25,285.55,26720036
2020-08-27 05:30:00+05:30,284.9,297.7,283.7,286.7,15749472
2020-08-28 05:30:00+05:30,289.0,295.65,286.5,288.25,7256286
2020-08-31 05:30:00+05:30,290.0,297.6,270.25,279.55,15172397
2020-09-01 05:30:00+05:30,279.95,287.05,271.55,281.1,5169526
2020-09-02 05:30:00+05:30,283.0,306.0,280.4,293.05,17406700
2020-09-03 05:30:00+05:30,294.75,298.7,287.65,291.25,9061932
2020-09-04 05:30:00+05:30,284.0,293.45,280.1,285.15,6720255
2020-09-07 05:30:00+05:30,285.15,291.7,282.05,285.25,5812023
2020-09-08 05:30:00+05:30,286.0,289.8,273.55,277.7,5660442
2020-09-09 05:30:00+05:30,276.9,286.9,274.4,283.05,6661093
2020-09-10 05:30:00+05:30,287.65,307.95,285.9,298.3,25430550
2020-09-11 05:30:00+05:30,299.0,303.65,292.1,296.0,9743753
2020-09-14 05:30:00+05:30,301.8,304.0,290.15,293.15,6120187
2020-09-15 05:30:00+05:30,294.9,298.7,270.0,288.55,2552782
2020-09-16 05:30:00+05:30,292.7,302.85,290.1,297.1,6159258
2020-09-17 05:30:00+05:30,295.0,300.8,292.15,293.7,2466000
2020-09-18 05:30:00+05:30,297.6,299.7,287.3,291.55,2744797
2020-09-21 05:30:00+05:30,293.0,296.25,265.0,277.1,6460064
2020-09-22 05:30:00+05:30,278.25,283.0,257.5,280.4,12536116
2020-09-23 05:30:00+05:30,283.95,296.25,278.45,283.55,8864858
2020-09-24 05:30:00+05:30,277.95,281.25,269.5,270.45,3690059
2020-09-25 05:30:00+05:30,275.9,283.6,275.0,280.3,7663618
2020-09-28 05:30:00+05:30,283.1,302.05,282.1,295.7,5876021
2020-09-29 05:30:00+05:30,299.9,307.0,292.15,297.9,10246726
2020-09-30 05:30:00+05:30,300.0,304.7,295.1,297.1,5618024
2020-10-01 05:30:00+05:30,299.8,311.95,296.0,308.15,6914505
2020-10-05 05:30:00+05:30,311.5,334.5,307.35,326.6,20009598
2020-10-06 05:30:00+05:30,329.4,331.15,320.3,327.15,7705557
2020-10-07 05:30:00+05:30,325.15,335.6,323.25,330.1,8234015
2020-10-08 05:30:00+05:30,329.0,329.8,310.5,316.25,4125999
2020-10-09 05:30:00+05:30,318.8,322.05,310.5,313.0,2468904
2020-10-12 05:30:00+05:30,315.0,322.7,313.0,315.35,2556329
2020-10-13 05:30:00+05:30,315.5,316.8,309.75,313.2,1454129
2020-10-14 05:30:00+05:30,312.95,315.7,310.05,313.4,1517710
2020-10-15 05:30:00+05:30,315.0,325.85,305.35,307.1,4960733
2020-10-16 05:30:00+05:30,309.25,313.95,305.35,307.0,1871538
2020-10-19 05:30:00+05:30,309.9,319.25,309.35,316.95,3330111
2020-10-20 05:30:00+05:30,315.3,327.85,313.5,321.9,7199010
2020-10-21 05:30:00+05:30,322.0,324.7,306.0,312.0,4998996
2020-10-22 05:30:00+05:30,311.0,314.8,309.0,311.5,2381193
2020-10-23 05:30:00+05:30,314.0,322.45,313.3,315.45,4159352
2020-10-26 05:30:00+05:30,318.0,318.7,305.05,307.4,4397443
2020-10-27 05:30:00+05:30,308.0,315.35,303.0,314.05,3550035
2020-10-28 05:30:00+05:30,313.8,320.8,309.85,318.85,3098009
2020-10-29 05:30:00+05:30,315.4,332.35,313.2,328.9,6897070
2020-10-30 05:30:00+05:30,331.05,347.5,329.65,339.7,14205844
2020-11-02 05:30:00+05:30,339.1,344.3,333.05,341.1,4272022
2020-11-03 05:30:00+05:30,344.0,349.6,340.15,344.8,4078834
2020-11-04 05:30:00+05:30,342.6,359.5,337.5,351.85,9701398
2020-11-05 05:30:00+05:30,353.0,354.95,345.25,352.75,5361436
2020-11-06 05:30:00+05:30,352.0,353.85,345.05,352.1,3863486
2020-11-09 05:30:00+05:30,354.0,364.7,351.85,357.9,6278843
2020-11-10 05:30:00+05:30,358.1,361.75,353.2,359.5,3590100
2020-11-11 05:30:00+05:30,359.2,362.7,354.05,360.1,2869576
2020-11-12 05:30:00+05:30,358.2,369.5,358.0,365.55,4199715
2020-11-13 05:30:00+05:30,364.0,371.65,362.05,368.6,2786714
2020-11-14 05:30:00+05:30,369.8,372.85,369.5,371.25,620753
2020-11-17 05:30:00+05:30,372.0,401.95,371.0,394.3,10496968
2020-11-18 05:30:00+05:30,393.95,404.7,387.4,394.5,8656493
2020-11-19 05:30:00+05:30,390.0,398.5,377.8,385.75,7731483
2020-11-20 05:30:00+05:30,385.1,402.0,385.0,388.3,5490838
2020-11-23 05:30:00+05:30,390.1,413.7,383.1,409.05,7318547
2020-11-24 05:30:00+05:30,409.9,415.5,404.2,407.2,6167783
2020-11-25 05:30:00+05:30,408.95,411.5,393.0,399.25,3448648
2020-11-26 05:30:00+05:30,402.8,411.55,399.15,401.95,5490958
2020-11-27 05:30:00+05:30,401.0,407.85,396.3,398.4,6429153
2020-12-01 05:30:00+05:30,398.0,423.95,395.1,421.9,7846125
2020-12-02 05:30:00+05:30,420.55,461.9,419.35,453.75,16821595
2020-12-03 05:30:00+05:30,453.75,457.0,443.25,447.55,6848649
2020-12-04 05:30:00+05:30,449.0,456.55,442.0,445.95,4131360
2020-12-07 05:30:00+05:30,446.0,466.35,445.95,457.55,5371039
2020-12-08 05:30:00+05:30,457.55,462.3,446.55,451.9,3872952
2020-12-09 05:30:00+05:30,454.0,458.1,447.3,449.1,2798049
2020-12-10 05:30:00+05:30,448.0,452.25,438.05,447.25,3113868
2020-12-11 05:30:00+05:30,447.25,451.8,440.4,449.8,2940168
2020-12-14 05:30:00+05:30,451.0,462.0,447.0,455.15,3762369
2020-12-15 05:30:00+05:30,455.5,464.05,446.55,462.45,4779869
2020-12-16 05:30:00+05:30,462.5,467.55,457.55,463.25,4088505
2020-12-17 05:30:00+05:30,463.4,473.95,455.1,459.3,4912523
2020-12-18 05:30:00+05:30,461.0,464.2,450.8,455.15,2159692
2020-12-21 05:30:00+05:30,454.0,460.75,409.65,429.2,5350194
2020-12-22 05:30:00+05:30,428.2,461.55,418.1,458.8,8342699
2020-12-23 05:30:00+05:30,458.0,466.8,454.2,463.6,4604130
2020-12-24 05:30:00+05:30,465.0,479.85,462.4,473.65,7985151
2020-12-28 05:30:00+05:30,473.0,507.0,472.7,490.85,13714406
2020-12-29 05:30:00+05:30,492.0,499.15,484.7,489.2,5849496
2020-12-30 05:30:00+05:30,489.2,496.0,478.4,484.15,5419517
2020-12-31 05:30:00+05:30,481.0,484.0,435.75,479.55,7575962
2021-01-01 05:30:00+05:30,477.0,493.25,477.0,491.15,5035248
2021-01-04 05:30:00+05:30,492.0,502.6,486.65,494.5,4936582
2021-01-05 05:30:00+05:30,492.0,501.4,489.6,494.4,3654033
2021-01-06 05:30:00+05:30,496.0,500.65,484.25,490.9,3295461
2021-01-07 05:30:00+05:30,493.9,523.95,493.8,518.1,9879731
2021-01-08 05:30:00+05:30,523.0,526.6,514.1,518.0,3702267
2021-01-11 05:30:00+05:30,520.6,524.6,510.5,519.15,4148831
2021-01-12 05:30:00+05:30,519.0,536.6,517.1,525.4,4878024
2021-01-13 05:30:00+05:30,529.1,540.2,521.3,536.05,4948731
2021-01-14 05:30:00+05:30,534.95,541.0,528.4,532.1,3161306
2021-01-15 05:30:00+05:30,534.7,537.5,518.8,527.3,3376852
2021-01-18 05:30:00+05:30,528.0,529.1,502.05,507.85,5204588
2021-01-19 05:30:00+05:30,512.3,532.0,512.3,530.1,4181185
2021-01-20 05:30:00+05:30,532.15,552.15,531.0,546.75,6681731
2021-01-21 05:30:00+05:30,551.4,552.95,531.55,536.9,4208383
2021-01-22 05:30:00+05:30,534.05,546.75,521.6,526.8,4179558
2021-01-25 05:30:00+05:30,530.25,534.4,509.0,513.9,3728411
2021-01-27 05:30:00+05:30,513.1,521.55,507.05,512.8,2792007
2021-01-28 05:30:00+05:30,507.3,519.5,501.35,511.85,4197516
2021-01-29 05:30:00+05:30,515.2,525.2,502.5,506.65,3822560
2021-02-01 05:30:00+05:30,510.5,539.5,496.9,537.2,4004036
2021-02-02 05:30:00+05:30,542.05,566.9,540.8,564.2,5144708
2021-02-03 05:30:00+05:30,568.0,576.6,558.35,566.6,6087209
